Budapest;1752704
Debrecen;201981
Szeged;161137
Miskolc;157177
Pécs;144675
Györ;129301
Nyíregyháza;117689
Kecskemét;110813
Székesfehérvár;97617
Szombathely;78025
Szolnok;71765
Érd;65857
Tatabánya;65849
Kaposvár;62446
Sopron;62246
Veszprém;59919
Békéscsaba;59732
Zalaegerszeg;58154
Eger;53876
Nagykanizsa;47349
Dunaújváros;44640
Hódmezövásárhely;44009
Dunakeszi;43005
Szigetszentmiklós;37564
Cegléd;35537
Baja;35102
Salgótarján;34627
Mosonmagyaróvár;32878
Ózd;32827
Vác;32741
Szekszárd;32528
Gödöllö;32408
Hajdúböszörmény;30717
Pápa;30561
Gyula;30004
Gyöngyös;29576
Kiskunfélegyháza;29157
Budaörs;28677
Ajka;28071
Esztergom;27979
Orosháza;27807
Kiskunhalas;27317
Szentes;27266
Kazincbarcika;26706
Jászberény;26360
Szentendre;26011
Siófok;25468
Hajdúszoboszló;23781
Nagykörös;23529
Gyál;23360
Tata;23217
Komló;22997
Makó;22546
Dunaharaszti;21469
Vecsés;20775
Hatvan;20200
Törökszentmiklós;20073
Karcag;19880
Keszthely;19652
Várpalota;19544
Fót;19291
Paks;18970
Békés;18914
Komárom;18805
Göd;18625
Százhalombatta;18378
Dombóvár;18311
Monor;18125
Veresegyház;18122
Oroszlány;17929
Gyömrö;17751
Szigethalom;17495
Balmazújváros;17322
Mohács;17278
Pomáz;16994
Hajdúnánás;16908
Dabas;16905
Mátészalka;16532
Mezötúr;16323
Kisvárda;16277
Mezökövesd;16183
Csongrád;16165
Kalocsa;15765
Szarvas;15758
Pécel;15642
Tiszaújváros;15571
Tapolca;15232
Balassagyarmat;15058